         142820 function calls (140735 primitive calls) in 0.087 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      477    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       13    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        2    0.000    0.000    0.000    0.000 enum.py:480(__new__)
     2419    0.000    0.000    0.000    0.000 {method 'isspace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _scimath_impl.py:1(<module>)
      458    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        2    0.000    0.000    0.000    0.000 typing.py:3139(__new__)
      592    0.000    0.000    0.000    0.000 _parser.py:261(get)
  540/521    0.000    0.000    0.000    0.000 typing.py:1361(__hash__)
      955    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
      711    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1126    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
    343/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
       75    0.000    0.000    0.000    0.000 inspect.py:2680(__init__)
      955    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      109    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:448(cb)
     1736    0.000    0.000    0.000    0.000 typing.py:777(<genexpr>)
      458    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
     1906    0.000    0.000    0.000    0.000 typing.py:1345(<genexpr>)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
       17    0.000    0.000    0.000    0.000 typing.py:1174(_generic_init_subclass)
      735    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      114    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       26    0.000    0.000    0.000    0.000 _compiler.py:248(_optimize_charset)
      231    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:648(parent)
      360    0.000    0.000    0.000    0.000 typing.py:175(_type_convert)
        1    0.000    0.000    0.000    0.000 __init__.py:91(_delvewheel_patch_1_11_2)
      860    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:494(_verbose_message)
      377    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1131(find_spec)
       14    0.000    0.000    0.000    0.000 typing.py:1996(__init__)
      954    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       10    0.000    0.000    0.000    0.000 _compiler.py:525(_compile_info)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
      458    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      661    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      458    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(exec_module)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        8    0.000    0.000    0.000    0.000 typing.py:385(decorator)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1229(__exit__)
        6    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      901    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       34    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1225(__enter__)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:2912(<generic parameters of SupportsAbs>)
      375    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
      901    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      146    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       50    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       14    0.000    0.000    0.000    0.000 typing.py:1842(_get_protocol_attrs)
      694    0.000    0.000    0.000    0.000 _parser.py:240(__next)
       74    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1331(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      153    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
      481    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        8    0.000    0.000    0.000    0.000 typing.py:380(_tp_cache)
      110    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
  630/611    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      477    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 __init__.py:886(blas_fpe_check)
        1    0.000    0.000    0.000    0.000 typing.py:2923(<generic parameters of SupportsRound>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:992(create_module)
       18    0.000    0.000    0.000    0.000 enum.py:342(__setitem__)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
      392    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:605(_getfinalpathname_nonstrict)
       24    0.000    0.000    0.000    0.000 inspect.py:2972(__init__)
       98    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        8    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        6    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        5    0.000    0.000    0.000    0.000 enum.py:239(__set_name__)
        1    0.000    0.000    0.000    0.000 __init__.py:822(_sanity_check)
    56/21    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
       21    0.000    0.000    0.000    0.000 overrides.py:25(get_array_function_like_doc)
      294    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        8    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
      109    0.000    0.000    0.000    0.000 __init__.py:28(decorator)
       70    0.000    0.000    0.000    0.000 typing.py:341(_unpack_args)
        1    0.000    0.000    0.000    0.000 {built-in method nt._path_isdir}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        6    0.000    0.000    0.000    0.000 numeric.py:2750(extend_all)
       11    0.000    0.000    0.000    0.000 functools.py:593(decorating_function)
      477    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
      292    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     23/8    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      264    0.000    0.000    0.000    0.000 overrides.py:108(array_function_dispatch)
       10    0.000    0.000    0.000    0.000 enum.py:1594(__and__)
       98    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
        3    0.000    0.000    0.000    0.000 typing.py:1364(__or__)
      477    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       85    0.000    0.000    0.000    0.000 enum.py:677(__call__)
       43    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
        2    0.000    0.000    0.000    0.000 enum.py:466(__prepare__)
     23/8    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      317    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
      140    0.000    0.000    0.000    0.000 typing.py:1396(<genexpr>)
        7    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        2    0.000    0.000    0.000    0.000 __init__.py:417(__init__)
      140    0.000    0.000    0.000    0.000 _parser.py:176(append)
       73    0.000    0.000    0.000    0.000 pickle.py:190(<genexpr>)
        1    0.000    0.000    0.000    0.000 _globals.py:66(_CopyMode)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:60(NDArrayOperatorsMixin)
        9    0.000    0.000    0.000    0.000 overrides.py:30(finalize_array_function_like)
      225    0.000    0.000    0.000    0.000 _parser.py:256(match)
      405    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      103    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      128    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       26    0.000    0.000    0.000    0.000 _compiler.py:221(_compile_charset)
      243    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1393(__init__)
       24    0.000    0.000    0.000    0.000 annotationlib.py:907(get_annotations)
        2    0.000    0.000    0.000    0.000 numeric.py:170(ones)
        4    0.000    0.000    0.000    0.000 __init__.py:603(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:222(is_python_build)
       24    0.000    0.000    0.000    0.000 inspect.py:663(unwrap)
        1    0.000    0.000    0.000    0.000 __init__.py:346(_reset_cache)
        1    0.000    0.000    0.000    0.000 _array_api_info.py:1(<module>)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:602(__init__)
        4    0.000    0.000    0.000    0.000 _py_warnings.py:320(_add_filter)
      140    0.000    0.000    0.000    0.000 typing.py:1716(_value_and_type_iter)
        9    0.000    0.000    0.000    0.000 <frozen os>:704(__getitem__)
      116    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
        1    0.000    0.000    0.000    0.000 <frozen os>:1161(add_dll_directory)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:665(spec_from_loader)
        1    0.000    0.000    0.000    0.000 typing.py:526(_SpecialForm)
        1    0.000    0.000    0.000    0.000 __init__.py:538(__getattr__)
        7    0.000    0.000    0.000    0.000 <frozen _collections_abc>:792(get)
       10    0.000    0.000    0.000    0.000 annotationlib.py:853(_build_closure)
       99    0.000    0.000    0.000    0.000 inspect.py:3027(<genexpr>)
       90    0.000    0.000    0.000    0.000 _parser.py:293(tell)
        1    0.000    0.000    0.000    0.000 numerictypes.py:626(_register_types)
      112    0.000    0.000    0.000    0.000 typing.py:1721(__eq__)
       10    0.000    0.000    0.000    0.000 typing.py:2258(runtime_checkable)
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
        1    0.000    0.000    0.000    0.000 __init__.py:114(_getuserbase)
       79    0.000    0.000    0.000    0.000 {method '__typing_prepare_subst__' of 'typing.TypeVar' objects}
      109    0.000    0.000    0.000    0.000 __init__.py:17(set_module)
       22    0.000    0.000    0.000    0.000 _compiler.py:412(_simple)
        2    0.000    0.000    0.000    0.000 {built-in method nt._path_isfile}
       11    0.000    0.000    0.000    0.000 typing.py:3827(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:271(POINTER)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _compiler.py:400(_mk_bitmap)
      109    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       22    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
     12/9    0.000    0.000    0.000    0.000 _compiler.py:450(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(numeric_type_aliases)
        1    0.000    0.000    0.000    0.000 _arrayterator_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:563(_readlink_deep)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       30    0.000    0.000    0.000    0.000 enum.py:1576(_get_value)
        1    0.000    0.000    0.000    0.000 pickle.py:1250(_Unpickler)
        2    0.000    0.000    0.000    0.000 _linalg.py:84(__annotate__)
        1    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
      129    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       13    0.000    0.000    0.000    0.000 mixins.py:45(_numeric_methods)
